   | 0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 |10 |11 |12 |13 |14 |
13 | 3 | 6 | 3 | 6 | 3 | 5 | 4 | 3 | 5 | 5 | 4 | 6 | 6 | 5 | 4 | 
14 | 3 | 4 | 3 | 3 | 3 | 5 | 6 | 3 | 5 | 6 | 3 | 4 | 6 | 6 | 5 | 

start: (12, 14)   finish: (2, 5)

   | 0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 |10 |11 |12 |13 |14 |
0  | 5 | 6 | 3 | 3 | 4 | 5 | 5 | 6 | 3 | 4 | 5 | 6 | 5 | 3 | 3 | 
1  | 6 | 6 | 5 | 3 | 3 | 6 | 6 | 4 | 4 | 4 | 5 | 6 | 5 | 5 | 6 | 
2  | 5 | 4 | 4 | 6 | 3 | 4 | 4 | 6 | 5 | 5 | 6 | 3 | 3 | 5 | 4 | 
3  | 6 | 5 | 3 | 6 | 6 | 6 | 6 | 6 | 5 | 4 | 3 | 5 | 3 | 6 | 5 | 
4  | 3 | 4 | 6 | 6 | 3 | 5 | 4 | 4 | 6 | 5 | 5 | 4 | 6 | 5 | 5 | 
5  | 6 | 3 | 6 | 6 | 6 | 3 | 3 | 6 | 6 | 4 | 4 | 6 | 5 | 3 | 5 | 
6  | 3 | 3 | 3 | 3 | 4 | 4 | 5 | 4 | 6 | 6 | 4 | 3 | 3 | 6 | 4 | 
7  | 4 | 3 | 3 | 5 | 5 | 4 | 3 | 5 | 3 | 3 | 3 | 4 | 4 | 4 | 5 | 
8  | 5 | 4 | 4 | 4 | 5 | 4 | 6 | 6 | 6 | 3 | 5 | 3 | 5 | 4 | 6 | 
9  | 4 | 5 | 4 | 5 | 6 | 5 | 3 | 5 | 3 | 5 | 6 | 3 | 5 | 6 | 5 | 
10 | 4 | 5 | 3 | 6 | 6 | 4 | 4 | 4 | 4 | 5 | 4 | 6 | 3 | 4 | 6 | 
11 | 6 | 3 | 4 | 5 | 6 | 3 | 3 | 3 | 6 | 5 | 3 | 6 | 5 | 4 | 6 | 
12 | 6 | 6 | 6 | 5 | 5 | 4 | 4 | 5 | 6 | 4 | 3 | 3 | 4 | 4 | 6 | 
13 | 4 | 6 | 4 | 3 | 5 | 4 | 3 | 3 | 4 | 4 | 4 | 6 | 4 | 5 | 4 | 
14 | 5 | 4 | 3 | 3 | 6 | 5 | 6 | 6 | 4 | 4 | 5 | 6 | 4 | 5 | 4 | 

start: (8, 2)   finish: (13, 7)

   | 0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 |10 |11 |12 |13 |14 |
0  | 3 | 4 | 6 | 4 | 3 | 4 | 6 | 3 | 4 | 5 | 5 | 6 | 5 | 3 | 3 | 
1  | 3 | 3 | 6 | 4 | 3 | 5 | 5 | 6 | 5 | 6 | 4 | 6 | 3 | 6 | 6 | 
2  | 5 | 3 | 6 | 4 | 5 | 4 | 4 | 4 | 3 | 6 | 6 | 4 | 6 | 6 | 5 | 
3  | 4 | 3 | 4 | 5 | 3 | 3 | 3 | 4 | 3 | 5 | 6 | 4 | 4 | 5 | 5 | 
4  | 4 | 3 | 3 | 6 | 6 | 6 | 3 | 6 | 4 | 6 | 5 | 6 | 4 | 6 | 3 | 
5  | 4 | 6 | 3 | 5 | 6 | 5 | 4 | 5 | 6 | 6 | 5 | 6 | 3 | 6 | 3 | 
6  | 3 | 6 | 4 | 3 | 5 | 5 | 4 | 3 | 5 | 5 | 4 | 3 | 6 | 6 | 5 | 
7  | 5 | 4 | 3 | 4 | 4 | 5 | 3 | 5 | 6 | 5 | 4 | 5 | 4 | 6 | 3 | 
8  | 6 | 3 | 3 | 5 | 5 | 5 | 4 | 3 | 3 | 3 | 4 | 5 | 4 | 5 | 6 | 
9  | 6 | 4 | 6 | 6 | 4 | 3 | 5 | 3 | 3 | 4 | 3 | 4 | 3 | 6 | 4 | 
10 | 6 | 5 | 6 | 5 | 5 | 3 | 5 | 4 | 4 | 4 | 3 | 6 | 5 | 5 | 4 | 
11 | 3 | 5 | 5 | 5 | 3 | 3 | 5 | 3 | 5 | 4 | 5 | 3 | 5 | 6 | 3 | 
12 | 4 | 4 | 6 | 3 | 5 | 5 | 3 | 6 | 4 | 3 | 6 | 5 | 6 | 4 | 4 | 
13 | 5 | 3 | 4 | 3 | 3 | 3 | 6 | 5 | 6 | 6 | 3 | 4 | 6 | 5 | 5 | 
14 | 5 | 4 | 4 | 3 | 5 | 3 | 3 | 4 | 6 | 4 | 4 | 3 | 4 | 4 | 5 | 

start: (9, 0)   finish: (4, 3)

   | 0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 |10 |11 |12 |13 |14 |
0  | 6 | 4 | 4 | 6 | 6 | 6 | 4 | 6 | 6 | 5 | 3 | 5 | 5 | 4 | 6 | 
1  | 6 | 5 | 4 | 6 | 4 | 4 | 3 | 5 | 3 | 6 | 4 | 6 | 3 | 6 | 5 | 
2  | 3 | 6 | 3 | 4 | 3 | 3 | 6 | 3 | 6 | 5 | 4 | 3 | 4 | 4 | 4 | 
3  | 3 | 6 | 4 | 5 | 5 | 6 | 5 | 6 | 5 | 4 | 4 | 6 | 3 | 6 | 5 | 
4  | 3 | 4 | 3 | 6 | 6 | 4 | 3 | 6 | 3 | 4 | 5 | 3 | 3 | 3 | 4 | 
5  | 5 | 5 | 5 | 4 | 3 | 5 | 3 | 4 | 4 | 6 | 5 | 6 | 4 | 3 | 5 | 
6  | 3 | 4 | 6 | 3 | 5 | 3 | 3 | 4 | 5 | 6 | 6 | 6 | 4 | 5 | 3 | 
7  | 5 | 5 | 5 | 4 | 3 | 4 | 4 | 3 | 4 | 6 | 6 | 3 | 3 | 3 | 4 | 
8  | 3 | 4 | 3 | 6 | 3 | 6 | 5 | 4 | 4 | 4 | 5 | 4 | 6 | 5 | 4 | 
9  | 6 | 3 | 3 | 4 | 4 | 3 | 6 | 4 | 6 | 5 | 4 | 4 | 4 | 5 | 4 | 
10 | 4 | 4 | 3 | 3 | 4 | 4 | 6 | 6 | 6 | 6 | 4 | 3 | 3 | 4 | 4 | 
11 | 5 | 4 | 5 | 5 | 5 | 6 | 4 | 5 | 4 | 3 | 4 | 5 | 3 | 5 | 5 | 
12 | 3 | 4 | 3 | 6 | 3 | 3 | 5 | 3 | 5 | 3 | 6 | 5 | 4 | 5 | 3 | 
13 | 6 | 4 | 4 | 5 | 4 | 5 | 4 | 5 | 4 | 4 | 5 | 5 | 4 | 3 | 3 | 
14 | 3 | 6 | 4 | 4 | 6 | 6 | 5 | 5 | 6 | 5 | 6 | 3 | 4 | 6 | 4 | 

start: (3, 4)   finish: (9, 0)

   | 0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 |10 |11 |12 |13 |14 |
0  | 6 | 5 | 4 | 3 | 4 | 3 | 4 | 3 | 4 | 6 | 4 | 3 | 4 | 3 | 6 | 
1  | 6 | 6 | 6 | 5 | 5 | 5 | 4 | 5 | 6 | 4 | 6 | 3 | 4 | 4 | 4 | 
2  | 5 | 6 | 4 | 4 | 4 | 4 | 4 | 5 | 4 | 6 | 4 | 3 | 4 | 5 | 3 | 
3  | 5 | 4 | 5 | 5 | 4 | 4 | 3 | 3 | 6 | 3 | 5 | 5 | 4 | 6 | 5 | 
4  | 6 | 5 | 5 | 6 | 4 | 6 | 3 | 4 | 4 | 6 | 6 | 3 | 3 | 3 | 3 | 
5  | 5 | 5 | 5 | 4 | 5 | 5 | 6 | 5 | 5 | 5 | 6 | 4 | 5 | 6 | 3 | 
6  | 4 | 3 | 3 | 6 | 6 | 6 | 3 | 3 | 6 | 3 | 6 | 6 | 3 | 6 | 4 | 
7  | 6 | 4 | 6 | 3 | 4 | 5 | 5 | 5 | 3 | 5 | 3 | 5 | 4 | 6 | 6 | 
8  | 6 | 3 | 5 | 4 | 6 | 3 | 5 | 5 | 6 | 3 | 4 | 5 | 4 | 5 | 3 | 
9  | 3 | 6 | 5 | 3 | 5 | 4 | 5 | 6 | 3 | 5 | 6 | 6 | 6 | 4 | 5 | 
10 | 3 | 4 | 5 | 4 | 3 | 6 | 6 | 5 | 5 | 5 | 3 | 3 | 5 | 6 | 3 | 
11 | 6 | 5 | 6 | 4 | 3 | 3 | 5 | 6 | 4 | 6 | 4 | 4 | 3 | 5 | 5 | 
12 | 3 | 5 | 6 | 3 | 6 | 4 | 6 | 3 | 4 | 6 | 5 | 4 | 3 | 3 | 5 | 
13 | 6 | 3 | 4 | 5 | 4 | 3 | 6 | 5 | 5 | 5 | 6 | 5 | 6 | 3 | 6 | 
14 | 5 | 4 | 4 | 6 | 4 | 3 | 6 | 4 | 6 | 5 | 6 | 3 | 4 | 6 | 6 | 

start: (7, 5)   finish: (11, 11)

   | 0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 |10 |11 |12 |13 |14 |
0  | 4 | 5 | 5 | 3 | 6 | 3 | 4 | 5 | 6 | 5 | 4 | 3 | 5 | 3 | 4 | 
1  | 3 | 4 | 5 | 6 | 3 | 5 | 5 | 6 | 6 | 5 | 5 | 6 | 3 | 5 | 6 | 
2  | 3 | 5 | 6 | 3 | 3 | 4 | 6 | 3 | 5 | 4 | 3 | 5 | 3 | 3 | 5 | 
3  | 5 | 3 | 5 | 3 | 3 | 3 | 4 | 4 | 6 | 6 | 4 | 3 | 4 | 6 | 5 | 
4  | 5 | 6 | 4 | 4 | 3 | 6 | 6 | 3 | 3 | 6 | 3 | 4 | 5 | 6 | 5 | 
5  | 4 | 5 | 6 | 5 | 4 | 5 | 3 | 5 | 3 | 5 | 5 | 4 | 5 | 3 | 6 | 
6  | 3 | 5 | 6 | 3 | 3 | 5 | 3 | 4 | 4 | 6 | 4 | 5 | 5 | 5 | 6 | 
7  | 4 | 5 | 5 | 3 | 5 | 4 | 3 | 3 | 5 | 5 | 4 | 4 | 4 | 3 | 6 | 
8  | 3 | 4 | 4 | 6 | 4 | 5 | 3 | 4 | 3 | 5 | 4 | 3 | 3 | 5 | 6 | 
9  | 5 | 5 | 3 | 5 | 6 | 6 | 6 | 3 | 3 | 6 | 3 | 6 | 6 | 5 | 3 | 
10 | 5 | 5 | 5 | 3 | 3 | 3 | 4 | 6 | 3 | 4 | 5 | 4 | 4 | 5 | 6 | 
11 | 5 | 5 | 5 | 3 | 5 | 6 | 6 | 5 | 3 | 3 | 5 | 6 | 4 | 4 | 3 | 
12 | 5 | 6 | 6 | 6 | 4 | 5 | 5 | 3 | 5 | 6 | 6 | 4 | 4 | 3 | 5 | 
13 | 5 | 4 | 3 | 6 | 4 | 4 | 6 | 5 | 3 | 3 | 5 | 5 | 5 | 3 | 4 | 
14 | 5 | 6 | 6 | 3 | 5 | 4 | 4 | 5 | 6 | 4 | 6 | 6 | 4 | 4 | 6 | 

start: (11, 7)   finish: (2, 14)

   | 0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 |10 |11 |12 |13 |14 |
0  | 4 | 5 | 4 | 5 | 6 | 6 | 6 | 3 | 3 | 4 | 3 | 6 | 6 | 5 | 4 | 
1  | 5 | 6 | 5 | 6 | 3 | 4 | 3 | 3 | 3 | 6 | 4 | 4 | 3 | 6 | 5 | 
2  | 3 | 4 | 3 | 6 | 5 | 4 | 3 | 3 | 4 | 3 | 3 | 6 | 4 | 4 | 5 | 
3  | 5 | 6 | 5 | 6 | 3 | 3 | 3 | 6 | 5 | 5 | 6 | 3 | 6 | 6 | 5 | 
4  | 3 | 4 | 6 | 6 | 5 | 3 | 5 | 6 | 3 | 4 | 5 | 6 | 6 | 4 | 6 | 
5  | 6 | 6 | 5 | 6 | 3 | 3 | 5 | 4 | 3 | 3 | 6 | 3 | 5 | 5 | 5 | 
6  | 6 | 6 | 6 | 3 | 4 | 4 | 5 | 6 | 5 | 5 | 4 | 3 | 6 | 6 | 6 | 
7  | 6 | 5 | 3 | 5 | 4 | 3 | 4 | 3 | 3 | 3 | 6 | 4 | 6 | 4 | 3 | 
8  | 3 | 3 | 3 | 5 | 4 | 6 | 6 | 6 | 6 | 3 | 3 | 3 | 5 | 6 | 6 | 
9  | 4 | 5 | 6 | 4 | 5 | 4 | 3 | 4 | 4 | 3 | 5 | 4 | 4 | 3 | 4 | 
10 | 5 | 4 | 3 | 6 | 5 | 6 | 5 | 6 | 6 | 3 | 6 | 4 | 5 | 3 | 5 | 
11 | 4 | 4 | 3 | 3 | 5 | 5 | 6 | 6 | 4 | 5 | 4 | 4 | 4 | 3 | 6 | 
12 | 6 | 3 | 3 | 5 | 6 | 5 | 4 | 6 | 3 | 3 | 5 | 4 | 5 | 3 | 4 | 
13 | 3 | 4 | 3 | 4 | 5 | 6 | 5 | 5 | 5 | 6 | 5 | 4 | 3 | 5 | 5 | 
14 | 3 | 6 | 3 | 4 | 5 | 6 | 3 | 4 | 5 | 6 | 4 | 6 | 3 | 6 | 3 | 

start: (7, 10)   finish: (10, 6)

   | 0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 |10 |11 |12 |13 |14 |
0  | 5 | 5 | 4 | 3 | 6 | 5 | 6 | 4 | 5 | 6 | 6 | 6 | 4 | 5 | 6 | 
1  | 3 | 3 | 6 | 5 | 6 | 3 | 5 | 4 | 4 | 4 | 5 | 3 | 3 | 6 | 5 | 
